function,particle_size,episodes,inertia_weight,c_coeff,s_coeff
Ackley,20,50,0.7,2.0,2.0
Booth,20,50,0.7,2.0,2.0
Himmelblau,20,50,0.7,2.0,2.0
Ackley,50,50,0.7,2.0,2.0
Ackley,100,50,0.7,2.0,2.0
Booth,50,50,0.7,2.0,2.0
Booth,100,50,0.7,2.0,2.0
Himmelblau,50,50,0.7,2.0,2.0
Himmelblau,100,50,0.7,2.0,2.0
Ackley,20,25,0.7,2.0,2.0
Ackley,20,100,0.7,2.0,2.0
Booth,20,25,0.7,2.0,2.0
Booth,20,100,0.7,2.0,2.0
Himmelblau,20,25,0.7,2.0,2.0
Himmelblau,20,100,0.7,2.0,2.0
Ackley,20,50,0.5,2.0,2.0
Ackley,20,50,0.9,2.0,2.0
Booth,20,50,0.5,2.0,2.0
Booth,20,50,0.9,2.0,2.0
Himmelblau,20,50,0.5,2.0,2.0
Himmelblau,20,50,0.9,2.0,2.0
Ackley,20,50,0.7,1.5,2.0
Ackley,20,50,0.7,2.5,2.0
Booth,20,50,0.7,1.5,2.0
Booth,20,50,0.7,2.5,2.0
Himmelblau,20,50,0.7,1.5,2.0
Himmelblau,20,50,0.7,2.5,2.0
Ackley,20,50,0.7,2.0,1.5
Ackley,20,50,0.7,2.0,2.5
Booth,20,50,0.7,2.0,1.5
Booth,20,50,0.7,2.0,2.5
Himmelblau,20,50,0.7,2.0,1.5
Himmelblau,20,50,0.7,2.0,2.5
